zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

截止日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
原始币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
经营溢利计算(元),52499000000.00,30692000000.00,90302000000.00,61794000000.00,40065000000.00,18464000000.00,53498000000.00,40221000000.00,26398000000.00,12695000000.00,38300000000.00,28061000000.00,18289000000.00,8851000000.00
应占联营公司溢利(元),1207000000.00,-319000000.00,821000000.00,941000000.00,123000000.00,-375000000.00,-2522000000.00,-2000000000.00,-1381000000.00,-1089000000.00,-2793000000.00,-1464000000.00,-762000000.00,-310000000.00
财务成本(元),-1805000000.00,-654000000.00,-2908000000.00,735000000.00,242000000.00,117000000.00,664000000.00,494000000.00,461000000.00,212000000.00,709000000.00,423000000.00,345000000.00,88000000.00
税前利润(元),51901000000.00,29719000000.00,88215000000.00,63470000000.00,40430000000.00,18206000000.00,51640000000.00,38715000000.00,25478000000.00,11818000000.00,36216000000.00,27020000000.00,17872000000.00,8629000000.00
所得税(元),-9348000000.00,-5746000000.00,-15744000000.00,-12621000000.00,-7628000000.00,-3658000000.00,-10193000000.00,-7791000000.00,-5330000000.00,-2550000000.00,-7108000000.00,-5110000000.00,-3546000000.00,-1699000000.00
影响净利润的其他项目(元),-18696000000.00,-11492000000.00,-,-,-,-,-,-,-,-,-,-,-,-
净利润(元),42553000000.00,23973000000.00,72471000000.00,50849000000.00,32802000000.00,14548000000.00,41447000000.00,30924000000.00,20148000000.00,9268000000.00,29108000000.00,21910000000.00,14326000000.00,6930000000.00
本公司拥有人应占净利润(元),41157000000.00,23290000000.00,71510000000.00,50713000000.00,32707000000.00,14476000000.00,41095000000.00,30566000000.00,19920000000.00,9183000000.00,28806000000.00,21642000000.00,14197000000.00,6883000000.00
非控股权益应占净利润(元),1396000000.00,683000000.00,961000000.00,136000000.00,95000000.00,72000000.00,352000000.00,358000000.00,228000000.00,85000000.00,302000000.00,268000000.00,129000000.00,47000000.00
每股收益,,,,,,,,,,,,,,
基本每股收益(元),4.36,2.47,7.60,5.39,3.48,1.54,4.38,3.26,2.13,0.98,3.10,2.33,1.53,0.74
稀释每股收益(元),4.30,2.44,7.50,5.32,3.44,1.52,4.33,3.22,2.10,0.97,3.06,2.30,1.51,0.73
其他全面收益(元),1787000000.00,-3394000000.00,6590000000.00,11279000000.00,11051000000.00,4236000000.00,7170000000.00,6453000000.00,4135000000.00,-2260000000.00,15615000000.00,9169000000.00,6281000000.00,2021000000.00
全面收益总额(元),44340000000.00,20579000000.00,79061000000.00,62128000000.00,43853000000.00,18784000000.00,48617000000.00,37377000000.00,24283000000.00,7008000000.00,44723000000.00,31079000000.00,20607000000.00,8951000000.00
