zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

截止日期,2018-03-31,2017-12-30,2017-09-30,2017-07-01,2017-04-01,2016-12-31,2016-10-01,2016-07-02,2016-04-02,2016-01-02,2015-10-03,2015-06-27,2015-03-28,2014-12-27
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,0929,0929,0930,0930,0930,0930,1001,1001,1001,0925,1003,0927,0927,0927
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
加：利息收入(元),-,-,-,-,-,-,-260000000.00,-,-91000000.00,-,-117000000.00,-62000000.00,-50000000.00,-58000000.00
加：利息支出(元),-272000000.00,-129000000.00,-385000000.00,-300000000.00,-183000000.00,-99000000.00,-,-161000000.00,-,-24000000.00,-,-,-,-
加：权益性投资损益(元),49000000.00,43000000.00,320000000.00,327000000.00,203000000.00,118000000.00,926000000.00,776000000.00,624000000.00,474000000.00,814000000.00,630000000.00,418000000.00,212000000.00
加：投资性减值准备(元),-,-15000000.00,-98000000.00,-,-,-,-156000000.00,-,-81000000.00,-81000000.00,-53000000.00,-,-,-
加：其他收入(支出)(元),94000000.00,53000000.00,78000000.00,-177000000.00,-,-,-,-,-,-,-,-,-,-
持续经营税前利润(元),7673000000.00,3745000000.00,13788000000.00,11094000000.00,7476000000.00,3725000000.00,14868000000.00,11987000000.00,7804000000.00,4358000000.00,13868000000.00,10644000000.00,6682000000.00,3362000000.00
减：所得税(元),85000000.00,-728000000.00,4422000000.00,3593000000.00,2449000000.00,1237000000.00,5078000000.00,4089000000.00,2618000000.00,1448000000.00,5016000000.00,3533000000.00,2210000000.00,1118000000.00
持续经营净利润(元),7588000000.00,4473000000.00,9366000000.00,7501000000.00,5027000000.00,2488000000.00,9790000000.00,7898000000.00,5186000000.00,2910000000.00,8852000000.00,7111000000.00,4472000000.00,2244000000.00
净利润(元),7588000000.00,4473000000.00,9366000000.00,7501000000.00,5027000000.00,2488000000.00,9790000000.00,7898000000.00,5186000000.00,2910000000.00,8852000000.00,7111000000.00,4472000000.00,2244000000.00
减：少数股东损益(元),228000000.00,50000000.00,386000000.00,268000000.00,160000000.00,9000000.00,399000000.00,278000000.00,163000000.00,30000000.00,470000000.00,338000000.00,182000000.00,62000000.00
归属于母公司股东净利润(元),7360000000.00,4423000000.00,8980000000.00,7233000000.00,4867000000.00,2479000000.00,9391000000.00,7620000000.00,5023000000.00,2880000000.00,8382000000.00,6773000000.00,4290000000.00,2182000000.00
归属于普通股股东净利润(元),7360000000.00,4423000000.00,8980000000.00,7233000000.00,4867000000.00,2479000000.00,9391000000.00,7620000000.00,5023000000.00,2880000000.00,8382000000.00,6773000000.00,4290000000.00,2182000000.00
每股股息－普通股(元),0.84,0.84,1.56,1.56,0.78,0.78,1.42,1.42,0.71,0.71,1.81,1.81,1.15,1.15
每股收益,,,,,,,,,,,,,,
基本每股收益－普通股(元),4.88,2.93,5.73,4.58,3.07,1.56,5.76,4.66,3.06,1.74,4.95,3.99,2.52,1.28
摊薄每股收益－普通股(元),4.86,2.91,5.69,4.55,3.05,1.55,5.73,4.63,3.04,1.73,4.90,3.95,2.50,1.27
其他全面收益(元),298000000.00,165000000.00,426000000.00,50000000.00,9000000.00,25000000.00,-1656000000.00,-357000000.00,-210000000.00,-99000000.00,-530000000.00,36000000.00,93000000.00,68000000.00
全面收益总额(元),7886000000.00,4638000000.00,9792000000.00,7551000000.00,5036000000.00,2513000000.00,8134000000.00,7541000000.00,4976000000.00,2811000000.00,8322000000.00,7147000000.00,4565000000.00,2312000000.00
本公司拥有人占全面收益总额(元),7543000000.00,4547000000.00,9431000000.00,7348000000.00,4966000000.00,2603000000.00,7833000000.00,7342000000.00,4845000000.00,2832000000.00,7929000000.00,6837000000.00,4415000000.00,2270000000.00
非控股权益占全面收益总额(元),343000000.00,91000000.00,361000000.00,203000000.00,70000000.00,-90000000.00,301000000.00,199000000.00,131000000.00,-21000000.00,393000000.00,310000000.00,150000000.00,42000000.00
公告日期,2018-05-08,2018-02-06,2017-11-22,2017-08-08,2017-05-09,2017-02-07,2016-11-23,2016-08-09,2016-05-10,2016-02-09,2015-11-25,2015-08-04,2015-05-05,2015-02-03
会计准则,美国会计准则,,,,,,,,,,,,,
审计意见,,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,,

